Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
,,Bulbasaur,Stellar Crown,143,https://www.tcgplayer.com/product/567418/pokemon-sv07-stellar-crown-bulbasaur,
,,Squirtle,Stellar Crown,148,https://www.tcgplayer.com/product/567429/pokemon-sv07-stellar-crown-squirtle,
,,Morty's Conviction,Temporal Forces,211,https://www.tcgplayer.com/product/542932/pokemon-sv05-temporal-forces-mortys-conviction-211-162,
,,Celebratory Fanfare,SV-P Promos,174,https://www.tcgplayer.com/product/587916/pokemon-japan-sv-p-promotional-cards-celebration-fanfare-174-sv-p,
,,Pikachu,Collection 151,170,,this card was only released in Simplified Chinese
18,Pidgeot,Mew,Southern Islands,1,https://www.tcgplayer.com/product/46466/pokemon-southern-islands-mew,only partially visible
,,Onix,Southern Islands,3,https://www.tcgplayer.com/product/46477/pokemon-southern-islands-onix,
,Mega Pidgeot,Pidgeot Spirit Link,Evolutions,81,https://www.tcgplayer.com/product/124094/pokemon-xy-evolutions-pidgeot-spirit-link,
19,Rattata,Lickitung,Southern Islands,16,https://www.tcgplayer.com/product/46473/pokemon-southern-islands-lickitung,
,,Light Jolteon,Neo Destiny,48,https://www.tcgplayer.com/product/86741/pokemon-neo-destiny-light-jolteon,
,,Mew ex,Paldean Fates,232,https://www.tcgplayer.com/product/534919/pokemon-sv-paldean-fates-mew-ex-232-091,
,,Team Rocket's Raticate,Destined Rivals,202,https://www.tcgplayer.com/product/633002/pokemon-sv10-destined-rivals-team-rockets-raticate-202-182,
,,Gumshoos,Mega Evolution,153,https://www.tcgplayer.com/product/654492/pokemon-me01-mega-evolution-gumshoos-153-132,
,,Raticate,Perfect Order,92,https://www.tcgplayer.com/product/684438/pokemon-me03-perfect-order-raticate-061-088,
20,Raticate,Ivysaur,Southern Islands,5,https://www.tcgplayer.com/product/46479/pokemon-southern-islands-ivysaur,only partially visible
21,Spearow,Sunkern,How I Became a Pokémon Card,-,https://www.tcgplayer.com/product/617209/pokemon-japan-how-i-became-a-pokemon-card-sunkern,
,,Exeggcute,Roaring Skies,1,https://www.tcgplayer.com/product/98037/pokemon-xy-roaring-skies-exeggcute,
,,Exeggutor,Roaring Skies,2,https://www.tcgplayer.com/product/98038/pokemon-xy-roaring-skies-exeggutor,
,,Dragonite V,Evolving Skies,192,https://www.tcgplayer.com/product/246758/pokemon-swsh07-evolving-skies-dragonite-v-alternate-full-art,
22,Fearow,Relic Hunter,Skyridge,120,https://www.tcgplayer.com/product/88683/pokemon-skyridge-relic-hunter,
,,Deino,Crimson Invasion,60,https://www.tcgplayer.com/product/149083/pokemon-sm-crimson-invasion-deino,
,,Dragonite V,Evolving Skies,192,https://www.tcgplayer.com/product/246758/pokemon-swsh07-evolving-skies-dragonite-v-alternate-full-art,
,,Ditto,Skyridge,51,https://www.tcgplayer.com/product/84830/pokemon-skyridge-ditto,wall painting
,,Eevee,Skyridge,54,https://www.tcgplayer.com/product/85077/pokemon-skyridge-eevee,
